Time,"flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.18:9249"",job=""default/flink-pod-monitor"",job_id=""aa1c3c477ceb7790e4e50ea72468dea9"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-h7zzk""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.20:9249"",job=""default/flink-pod-monitor"",job_id=""e9c675f1a3c3335d3fb11680549dffad"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-mqrp8""}","flink_jobmanager_job_lastCheckpointDuration{component=""jobmanager"",container=""flink-main-container"",endpoint=""prom"",host=""flink_default"",instance=""10.42.2.21:9249"",job=""default/flink-pod-monitor"",job_id=""bfc814440a68623959d3e27ca898e762"",job_name=""Simple_Benchmark"",namespace=""default"",pod=""flink-5466f6df9f-7nzv5""}"
2025-07-16 12:00:00,623.0,,
2025-07-16 12:00:30,483.0,,
2025-07-16 12:01:00,1181.0,,
2025-07-16 12:01:30,465.0,,
2025-07-16 12:02:00,783.0,,
2025-07-16 12:02:30,437.0,,
2025-07-16 12:03:00,863.0,,
2025-07-16 12:03:30,414.0,,
2025-07-16 12:04:00,876.0,,
2025-07-16 12:04:30,443.0,,
2025-07-16 12:05:00,935.0,,
2025-07-16 12:20:00,,628.0,
2025-07-16 12:20:30,,748.0,
2025-07-16 12:21:00,,616.0,
2025-07-16 12:21:30,,683.0,
2025-07-16 12:22:00,,583.0,
2025-07-16 12:22:30,,679.0,
2025-07-16 12:23:00,,590.0,
2025-07-16 12:23:30,,699.0,
2025-07-16 12:24:00,,592.0,
2025-07-16 12:24:30,,651.0,
2025-07-16 12:25:00,,588.0,
2025-07-16 12:30:00,,,538.0
2025-07-16 12:30:30,,,641.0
2025-07-16 12:31:00,,,533.0
2025-07-16 12:31:30,,,589.0
2025-07-16 12:32:00,,,533.0
2025-07-16 12:32:30,,,1595.0
2025-07-16 12:33:00,,,782.0
2025-07-16 12:33:30,,,541.0
2025-07-16 12:34:00,,,554.0
2025-07-16 12:34:30,,,648.0
2025-07-16 12:35:00,,,528.0
