Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_3_9"",instance=""10.42.3.9:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_3_10"",instance=""10.42.3.10:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}","flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_3_11"",instance=""10.42.3.11:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-07-16 09:01:00,0.4425,,
2025-07-16 09:01:05,0.4305,,
2025-07-16 09:01:10,0.417,,
2025-07-16 09:01:15,0.5525,,
2025-07-16 09:01:20,0.428,,
2025-07-16 09:01:25,0.433,,
2025-07-16 09:01:30,0.415,,
2025-07-16 09:01:35,0.4315,,
2025-07-16 09:01:40,0.449,,
2025-07-16 09:01:45,0.538,,
2025-07-16 09:01:50,0.433,,
2025-07-16 09:01:55,0.4195,,
2025-07-16 09:02:00,0.421,,
2025-07-16 09:02:05,0.435,,
2025-07-16 09:02:10,0.4255,,
2025-07-16 09:02:15,0.5505,,
2025-07-16 09:02:20,0.4445,,
2025-07-16 09:02:25,0.424,,
2025-07-16 09:02:30,0.427,,
2025-07-16 09:02:35,0.4465,,
2025-07-16 09:02:40,0.4125,,
2025-07-16 09:02:45,0.55,,
2025-07-16 09:02:50,0.421,,
2025-07-16 09:02:55,0.413,,
2025-07-16 09:03:00,0.433,,
2025-07-16 09:03:05,0.438,,
2025-07-16 09:03:10,0.4165,,
2025-07-16 09:03:15,0.5555,,
2025-07-16 09:03:20,0.4295,,
2025-07-16 09:03:25,0.4345,,
2025-07-16 09:03:30,0.4365,,
2025-07-16 09:03:35,0.4485,,
2025-07-16 09:03:40,0.424,,
2025-07-16 09:03:45,0.5525,,
2025-07-16 09:03:50,0.439,,
2025-07-16 09:03:55,0.4425,,
2025-07-16 09:04:00,0.4205,,
2025-07-16 09:04:05,0.4445,,
2025-07-16 09:04:10,0.4155,,
2025-07-16 09:04:15,0.5515,,
2025-07-16 09:04:20,0.4375,,
2025-07-16 09:04:25,0.416,,
2025-07-16 09:04:30,0.427,,
2025-07-16 09:04:35,0.442,,
2025-07-16 09:04:40,0.4135,,
2025-07-16 09:04:45,0.606,,
2025-07-16 09:04:50,0.435,,
2025-07-16 09:04:55,0.4315,,
2025-07-16 09:05:00,0.438,,
2025-07-16 09:10:00,,0.6965,
2025-07-16 09:10:05,,0.57,
2025-07-16 09:10:10,,0.625,
2025-07-16 09:10:15,,0.637,
2025-07-16 09:10:20,,0.588,
2025-07-16 09:10:25,,0.635,
2025-07-16 09:10:30,,0.634,
2025-07-16 09:10:35,,0.571,
2025-07-16 09:10:40,,0.6535,
2025-07-16 09:10:45,,0.5985,
2025-07-16 09:10:50,,0.6335,
2025-07-16 09:10:55,,0.6235,
2025-07-16 09:11:00,,0.604,
2025-07-16 09:11:05,,0.613,
2025-07-16 09:11:10,,0.6125,
