Time,"flink_taskmanager_Status_JVM_CPU_Load{component=""taskmanager"",container=""flink-main-container"",endpoint=""prom"",host=""10_42_4_12"",instance=""10.42.4.12:9249"",job=""default/flink-pod-monitor"",namespace=""default"",pod=""flink-taskmanager-1-1"",tm_id=""flink_taskmanager_1_1""}"
2025-07-15 13:17:00,0.999
2025-07-15 13:17:05,1.0
2025-07-15 13:17:10,0.9925
2025-07-15 13:17:15,0.9255
2025-07-15 13:17:20,0.999
2025-07-15 13:17:25,1.0
2025-07-15 13:17:30,0.981
2025-07-15 13:17:35,1.0
2025-07-15 13:17:40,0.9855
2025-07-15 13:17:45,0.9725
2025-07-15 13:17:50,1.0
2025-07-15 13:17:55,0.9995
2025-07-15 13:18:00,1.0
2025-07-15 13:18:05,1.0
2025-07-15 13:18:10,0.9985
2025-07-15 13:18:15,0.967
2025-07-15 13:18:20,0.9985
2025-07-15 13:18:25,1.0
2025-07-15 13:18:30,0.9985
2025-07-15 13:18:35,1.0
2025-07-15 13:18:40,0.9765
2025-07-15 13:18:45,0.947
2025-07-15 13:18:50,0.9995
2025-07-15 13:18:55,1.0
2025-07-15 13:19:00,0.9635
2025-07-15 13:19:05,1.0
2025-07-15 13:19:10,0.9945
2025-07-15 13:19:15,0.956
2025-07-15 13:19:20,1.0
2025-07-15 13:19:25,0.9975
2025-07-15 13:19:30,1.0
2025-07-15 13:19:35,0.889
2025-07-15 13:19:40,1.0
2025-07-15 13:19:45,0.9165
2025-07-15 13:19:50,1.0
2025-07-15 13:19:55,1.0
2025-07-15 13:20:00,0.9995
2025-07-15 13:20:05,1.0
2025-07-15 13:20:10,1.0
2025-07-15 13:20:15,0.959
2025-07-15 13:20:20,1.0
2025-07-15 13:20:25,1.0
2025-07-15 13:20:30,0.9635
2025-07-15 13:20:35,1.0
2025-07-15 13:20:40,0.9965
2025-07-15 13:20:45,0.9605
2025-07-15 13:20:50,1.0
2025-07-15 13:20:55,0.999
2025-07-15 13:21:00,1.0
2025-07-15 13:21:05,0.9925
2025-07-15 13:21:10,1.0
2025-07-15 13:21:15,0.931
2025-07-15 13:21:20,0.9985
2025-07-15 13:21:25,1.0
2025-07-15 13:21:30,0.9945
2025-07-15 13:21:35,1.0
2025-07-15 13:21:40,1.0
2025-07-15 13:21:45,0.9475
2025-07-15 13:21:50,1.0
2025-07-15 13:21:55,0.9985
2025-07-15 13:22:00,1.0
2025-07-15 13:22:05,0.9835
2025-07-15 13:22:10,1.0
2025-07-15 13:22:15,0.9925
2025-07-15 13:22:20,1.0
2025-07-15 13:22:25,0.9995
2025-07-15 13:22:30,0.924
2025-07-15 13:22:35,1.0
2025-07-15 13:22:40,1.0
2025-07-15 13:22:45,0.9515
2025-07-15 13:22:50,0.999
2025-07-15 13:22:55,0.974
2025-07-15 13:23:00,0.994
2025-07-15 13:23:05,0.9985
2025-07-15 13:23:10,1.0
2025-07-15 13:23:15,0.9555
2025-07-15 13:23:20,1.0
2025-07-15 13:23:25,0.998
2025-07-15 13:23:30,1.0
2025-07-15 13:23:35,0.9975
2025-07-15 13:23:40,0.998
2025-07-15 13:23:45,0.9825
2025-07-15 13:23:50,0.9995
2025-07-15 13:23:55,1.0
2025-07-15 13:24:00,1.0
2025-07-15 13:24:05,1.0
2025-07-15 13:24:10,0.9759803921568627
2025-07-15 13:24:15,0.9385
2025-07-15 13:24:20,1.0
2025-07-15 13:24:25,1.0
2025-07-15 13:24:30,0.984
2025-07-15 13:24:35,1.0
2025-07-15 13:24:40,1.0
2025-07-15 13:24:45,0.9705
2025-07-15 13:24:50,0.9995
2025-07-15 13:24:55,0.9955
2025-07-15 13:25:00,0.996
